File;Segment;coef_variation;first_diff_max;first_diff_mean;kurtosis;power1;power2;power3;power4;ratio1;ratio2;ratio3;ratio4;sec_diff_max;sec_diff_mean;slopemean;slopevar;spec_entropy;w1;w2;w3;w4;w5;w6;w7;w8;welch1;welch2;welch3;welch4;labels_jules;Skewness;Mobility;Complexity
1;1;-3.593410806;0.000619908;7.56E-06;20.91199012;68.12598262;21.26314623;12.06860329;16.41648533;0.577954909;0.18038844;0.102385437;0.139271214;0.00024094;6.07E-06;1.58E-09;2.53E-10;0.704405866;-8.15E-06;0.00027306;-2.32E-09;9.21E-06;0.001482149;1.23E-06;-0.018312319;-2.31E-05;1.67E-08;1.35E-09;2.54E-10;7.16E-11;1;-0.120870723;0.000721417;4.085122477
1;2;0.917396232;9.03E-05;5.33E-06;13.24046742;7.384189398;1.899678153;1.339603173;2.797992735;0.550177663;0.141540314;0.099810514;0.208471509;3.58E-05;4.41E-06;-2.33E-08;4.92E-11;0.722214478;-1.13E-05;4.44E-05;-5.21E-10;4.58E-06;4.23E-05;2.60E-07;-0.000759607;-6.07E-06;2.61E-10;2.03E-11;5.85E-12;2.82E-12;1;0.733055886;0.001450247;4.997327671
1;3;6.304742895;4.97E-05;5.10E-06;4.068094449;7.14453781;1.954512248;1.262816339;2.970807169;0.535866852;0.146595673;0.094715912;0.222821563;3.32E-05;4.22E-06;-2.21E-08;4.01E-11;0.729173905;-1.32E-05;4.38E-05;-1.20E-10;4.24E-06;3.44E-05;2.13E-07;-0.000629378;-5.05E-06;2.02E-10;1.71E-11;4.60E-12;2.38E-12;1;-0.40629763;0.001555753;6.208552212
1;4;-4.256766297;0.000158684;5.28E-06;17.45875962;12.06676994;3.683470093;2.279281549;4.274109768;0.541022659;0.165151138;0.102193294;0.191632909;7.50E-05;4.37E-06;-1.50E-08;4.50E-11;0.732845417;-5.58E-06;6.37E-05;-1.09E-09;4.42E-06;6.38E-05;2.30E-07;-0.001064072;-5.42E-06;4.43E-10;3.52E-11;8.66E-12;4.05E-12;1;-0.245942432;0.001333515;5.190772081
1;5;-4.944986102;0.000852615;5.96E-06;40.32335732;32.24636275;7.915167071;5.283104692;8.422986645;0.598622365;0.146937379;0.098075701;0.156364556;0.000359661;4.83E-06;-2.72E-08;1.32E-10;0.687715003;7.99E-06;0.000219863;5.08E-10;6.92E-06;0.000917971;6.66E-07;-0.011265548;-1.26E-05;6.75E-09;4.85E-10;9.53E-11;3.29E-11;1;0.772252755;0.000924151;4.349564733
1;6;-6.383975662;0.001008785;6.34E-06;139.2336174;77.27016343;26.10315879;8.558212128;19.30672053;0.588777742;0.198899009;0.065211261;0.147111988;0.000372885;5.01E-06;-2.99E-08;1.92E-10;0.679166839;4.91E-06;0.000294624;-7.47E-10;8.74E-06;0.001649198;1.08E-06;-0.018498059;-1.87E-05;1.99E-08;1.86E-09;1.90E-10;9.64E-11;0;-3.68553557;0.00098661;3.433837835
1;7;-7.607741863;0.001041935;7.35E-06;64.49184104;107.2966243;38.91892288;18.93693232;26.34535043;0.560302038;0.203234276;0.098888496;0.13757519;0.000342904;5.77E-06;-4.18E-08;4.55E-10;0.714597647;2.67E-06;0.000428932;-2.38E-10;1.03E-05;0.003379212;1.53E-06;-0.037257746;-2.67E-05;4.16E-08;2.96E-09;5.25E-10;1.74E-10;0;-2.569077532;0.000891941;2.90729607
1;8;-35.59998116;0.001166958;9.45E-06;27.71647098;92.24486062;30.04015991;12.09338581;21.75355923;0.59081342;0.192402368;0.077456181;0.13932803;0.000604644;7.03E-06;-5.83E-08;6.41E-10;0.683947396;1.82E-06;0.000572322;1.34E-09;1.45E-05;0.006258051;3.29E-06;-0.069253283;-5.47E-05;7.75E-08;6.58E-09;8.10E-10;3.42E-10;0;-1.642417622;0.000821662;2.961379009
1;9;-12.19102167;0.000864563;6.24E-06;51.31565534;26.67710398;6.592284863;3.59752386;6.431121826;0.616127366;0.152253675;0.083087463;0.148531496;0.0002236;5.04E-06;-4.22E-08;1.75E-10;0.66788403;1.36E-05;0.000249838;-2.36E-09;8.81E-06;0.001152513;1.20E-06;-0.014197159;-2.00E-05;9.45E-09;6.17E-10;1.09E-10;4.35E-11;0;-0.956436068;0.000926213;4.069257411
2;1;-5.374040794;0.000491496;5.54E-06;12.46149803;9.934688054;2.54757218;1.661233722;2.999971103;0.57950292;0.148603107;0.096901864;0.174992109;0.000443848;4.58E-06;-3.43E-08;1.36E-10;0.702521255;5.91E-05;0.000140437;1.36E-09;7.25E-06;0.001065828;7.19E-07;-0.014866641;-1.38E-05;1.17E-09;9.77E-11;2.61E-11;1.22E-11;1;-0.247755766;0.001001056;7.940380802
